,movie_rated,run_length,release_date,rating,genre_action,genre_adventure,genre_sci-fi,genre_drama,genre_fantasy,genre_war,genre_comedy,genre_animation,genre_crime,genre_thriller,genre_mystery,genre_horror,genre_biography,genre_history,genre_music,genre_sport,genre_romance,genre_western
0,PG-13,2h 28min,16 July 2010 (USA),8.8,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,PG-13,2h 58min,19 December 2001 (USA),8.8,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,PG-13,3h 21min,17 December 2003 (USA),8.9,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,PG-13,2h 44min,20 July 2012 (USA),8.4,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,PG-13,2h 59min,18 December 2002 (USA),8.7,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,PG-13,2h 49min,7 November 2014 (USA),8.6,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,R,2h 35min,5 May 2000 (USA),8.5,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,PG-13,2h 20min,15 June 2005 (USA),8.2,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,PG-13,2h 23min,4 May 2012 (USA),8.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,R,2h 33min,21 August 2009 (USA),8.3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10,PG,2h 1min,25 May 1977 (USA),8.6,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11,PG,2h 4min,20 June 1980 (USA),8.7,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12,PG-13,2h 42min,18 December 2009 (USA),7.8,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13,PG-13,2h 1min,1 August 2014 (USA),8.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
14,PG,1h 56min,3 July 1985 (USA),8.5,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
15,PG-13,2h 23min,9 July 2003 (USA),8.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16,G,1h 38min,27 June 2008 (USA),8.4,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
17,PG,2h 11min,25 May 1983 (USA),8.3,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
18,G,1h 40min,30 May 2003 (USA),8.1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
19,PG-13,2h 6min,2 May 2008 (USA),7.9,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,G,1h 28min,24 June 1994 (USA),8.5,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,PG,1h 36min,29 May 2009 (USA),8.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
22,R,1h 48min,12 February 2016 (USA),8.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
23,PG,1h 55min,12 June 1981 (USA),8.4,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,G,1h 21min,22 November 1995 (USA),8.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
25,R,2h,15 May 2015 (USA),8.1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,PG-13,2h 18min,18 December 2015 (USA),7.9,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,PG-13,2h 7min,11 June 1993 (USA),8.1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,PG-13,2h 22min,23 March 2012 (USA),7.2,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,G,1h 32min,2 November 2001 (USA),8.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
30,PG-13,2h 29min,27 April 2018 (USA),8.4,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,PG-13,2h 49min,14 December 2012 (USA),7.8,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
32,PG-13,2h 10min,15 July 2011 (USA),8.1,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
33,PG-13,3h 1min,26 April 2019 (USA),8.4,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,PG-13,2h 10min,3 May 2013 (USA),7.2,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,G,1h 43min,18 June 2010 (USA),8.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
36,PG-13,2h 24min,2 October 2015 (USA),8.0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,PG-13,1h 55min,6 May 2011 (USA),7.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
38,PG-13,2h 4min,22 July 2011 (USA),6.9,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,PG-13,2h 21min,1 May 2015 (USA),7.3,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,PG-13,2h 16min,4 April 2014 (USA),7.7,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,PG,2h 16min,19 May 1999 (USA),6.5,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
42,PG-13,2h 4min,7 May 2010 (USA),7.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,PG-13,2h 20min,19 May 2005 (USA),7.5,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
44,R,1h 39min,28 March 2014 (USA),8.1,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
45,R,2h 36min,8 January 2016 (USA),8.0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,PG-13,2h 23min,14 June 2013 (USA),7.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,PG-13,2h 7min,24 May 1989 (USA),8.2,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,PG-13,2h 1min,3 May 2002 (USA),7.3,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,PG-13,1h 41min,14 December 2007 (USA),7.2,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,PG-13,2h 12min,23 May 2014 (USA),8.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,PG,1h 38min,26 March 2010 (USA),8.1,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
52,PG-13,2h 31min,7 July 2006 (USA),7.3,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
53,PG,1h 55min,5 November 2004 (USA),8.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
54,PG-13,2h 27min,6 May 2016 (USA),7.8,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,R,2h 17min,18 July 1986 (USA),8.3,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,PG-13,2h 11min,3 June 2011 (USA),7.7,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,PG,2h 22min,16 May 2002 (USA),6.5,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
58,G,1h 51min,29 June 2007 (USA),8.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
59,PG,2h 32min,16 November 2001 (USA),7.6,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
60,PG,2h 5min,28 March 2003 (USA),8.6,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
61,PG-13,2h 23min,9 November 2012 (USA),7.7,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
62,PG-13,2h 31min,25 March 2016 (USA),6.4,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,PG-13,2h 26min,22 November 2013 (USA),7.5,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
64,PG,1h 30min,18 May 2001 (USA),7.8,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
65,PG-13,2h 41min,13 December 2013 (USA),7.8,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
66,PG-13,2h 14min,16 February 2018 (USA),7.3,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,PG,1h 35min,19 June 2015 (USA),8.1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
68,PG-13,2h 24min,3 July 2007 (USA),7.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,PG-13,1h 56min,21 June 2013 (USA),7.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
70,G,2h 29min,12 May 1968 (UK),8.3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,PG-13,2h 49min,25 May 2007 (USA),7.1,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
72,PG-13,2h 3min,5 August 2016 (USA),6.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
73,PG-13,1h 53min,6 June 2014 (USA),7.9,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,PG-13,1h 52min,8 November 2013 (USA),6.9,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
75,R,2h 9min,13 February 2015 (USA),7.7,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
76,PG-13,1h 55min,4 November 2016 (USA),7.5,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
77,PG-13,2h 8min,25 December 2009 (USA),7.6,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
78,PG-13,2h 7min,8 May 2009 (USA),7.9,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,PG,2h 7min,21 November 2012 (USA),7.9,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
80,PG-13,2h 24min,17 November 2006 (USA),8.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
81,PG-13,2h 4min,12 June 2015 (USA),7.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,PG-13,1h 44min,14 July 2000 (USA),7.4,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,R,2h 4min,8 June 2012 (USA),7.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
84,PG-13,2h 10min,3 November 2017 (USA),7.9,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
85,PG,1h 42min,27 November 2013 (USA),7.4,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
86,R,2h 28min,19 October 2007 (USA),8.1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
87,PG-13,1h 57min,17 July 2015 (USA),7.3,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88,PG-13,2h 16min,3 July 2012 (USA),6.9,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,PG-13,2h 16min,5 May 2017 (USA),7.6,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
90,PG-13,2h 32min,15 December 2017 (USA),7.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
91,PG-13,2h 13min,16 December 2016 (USA),7.8,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,PG,2h 4min,20 June 1975 (USA),8.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
93,PG,2h 41min,15 November 2002 (USA),7.4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
94,PG-13,2h 21min,2 June 2017 (USA),7.4,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
95,PG-13,2h 7min,30 June 2004 (USA),7.3,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,PG,2h 22min,4 June 2004 (USA),7.9,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
97,PG-13,2h 37min,18 November 2005 (USA),7.7,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
98,PG-13,2h 25min,3 July 1996 (USA),7.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,G,1h 32min,24 November 1999 (USA),7.9,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
