,genres,rating
0,0,8.8
1,1,8.8
2,2,8.9
3,3,8.4
4,2,8.7
5,4,8.6
6,1,8.5
7,3,8.2
8,0,8.0
9,5,8.3
10,6,8.6
11,6,8.7
12,6,7.8
13,7,8.0
14,8,8.5
15,6,8.0
16,9,8.4
17,6,8.3
18,10,8.1
19,0,7.9
20,11,8.5
21,10,8.2
22,7,8.0
23,3,8.4
24,10,8.3
25,0,8.1
26,0,7.9
27,0,8.1
28,0,7.2
29,10,8.0
30,0,8.4
31,12,7.8
32,2,8.1
33,1,8.4
34,0,7.2
35,10,8.3
36,4,8.0
37,6,7.0
38,0,6.9
39,0,7.3
40,0,7.7
41,6,6.5
42,0,7.0
43,6,7.5
44,13,8.1
45,1,8.0
46,0,7.0
47,3,8.2
48,0,7.3
49,1,7.2
50,0,8.0
51,14,8.1
52,6,7.3
53,14,8.0
54,0,7.8
55,0,8.3
56,0,7.7
57,6,6.5
58,10,8.0
59,12,7.6
60,9,8.6
61,15,7.7
62,0,6.4
63,16,7.5
64,10,7.8
65,12,7.8
66,0,7.3
67,10,8.1
68,0,7.0
69,17,7.0
70,18,8.3
71,6,7.1
72,6,6.0
73,0,7.9
74,6,6.9
75,7,7.7
76,6,7.5
77,16,7.6
78,0,7.9
79,2,7.9
80,15,8.0
81,0,7.0
82,0,7.4
83,19,7.0
84,7,7.9
85,10,7.4
86,20,8.1
87,7,7.3
88,0,6.9
89,7,7.6
90,6,7.0
91,0,7.8
92,21,8.0
93,12,7.4
94,6,7.4
95,0,7.3
96,12,7.9
97,12,7.7
98,0,7.0
99,10,7.9
100,9,8.4
101,10,8.1
102,11,8.5
103,10,8.2
104,10,8.3
105,10,8.0
106,10,8.3
107,14,8.1
108,14,8.0
109,10,8.0
110,9,8.6
111,10,7.8
112,10,8.1
113,10,7.4
114,10,7.9
115,22,7.6
116,10,7.5
117,10,8.0
118,23,8.0
119,10,7.2
120,14,7.5
121,14,7.8
122,10,7.7
123,10,7.7
124,10,7.1
125,10,7.3
126,10,8.0
127,10,6.9
128,22,7.1
129,9,8.4
130,24,8.4
131,14,8.4
132,14,7.7
133,9,8.2
134,10,7.3
135,10,7.3
136,14,7.8
137,23,8.0
138,23,8.2
139,10,6.1
140,10,7.2
141,10,7.6
142,10,6.8
143,14,7.2
144,9,7.6
145,14,7.6
146,25,7.3
147,10,7.3
148,23,7.6
149,10,7.2
150,26,8.5
151,27,7.2
152,10,6.9
153,22,7.1
154,14,7.3
155,10,6.4
156,10,6.9
157,10,6.9
158,10,7.3
159,10,6.6
160,9,7.3
161,11,6.9
162,10,7.9
163,25,7.7
164,28,7.7
165,10,6.6
166,14,7.2
167,10,6.8
168,10,7.8
169,10,6.3
170,10,6.5
171,10,7.7
172,23,7.6
173,10,7.3
174,29,8.4
175,22,7.0
176,10,7.0
177,10,6.1
178,14,8.0
179,10,6.6
180,10,6.4
181,11,6.7
182,10,6.0
183,10,7.2
184,9,7.6
185,30,8.1
186,14,6.2
187,10,6.8
188,31,8.0
189,10,6.4
190,10,6.7
191,10,6.1
192,14,7.3
193,10,7.2
194,10,6.5
195,11,8.0
196,14,6.4
197,24,8.1
198,23,7.3
199,10,6.6
200,32,8.9
201,33,8.2
202,33,8.7
203,32,8.3
204,34,8.2
205,33,8.1
206,35,8.5
207,36,8.5
208,37,8.0
209,32,8.0
210,32,8.1
211,34,7.7
212,37,7.7
213,20,8.1
214,34,8.0
215,36,8.0
216,34,8.0
217,38,7.3
218,39,8.1
219,32,8.1
220,33,7.8
221,33,8.1
222,40,7.7
223,33,7.8
224,32,8.3
225,39,7.6
226,35,7.8
227,34,7.6
228,35,8.2
229,39,7.8
230,32,8.1
231,34,7.5
232,32,8.2
233,39,8.2
234,33,7.9
235,39,7.6
236,33,7.0
237,33,7.7
238,38,7.5
239,20,8.3
240,32,7.3
241,33,7.6
242,33,7.7
243,38,8.1
244,33,8.0
245,36,7.8
246,34,7.4
247,34,7.6
248,32,8.0
249,34,8.1
250,38,8.0
251,34,8.0
252,33,7.5
253,33,8.0
254,34,8.0
255,34,7.7
256,39,7.8
257,41,7.1
258,32,7.8
259,32,7.9
260,32,8.0
261,38,7.0
262,32,7.7
263,35,7.5
264,42,7.1
265,34,7.3
266,33,7.5
267,33,6.9
268,34,7.4
269,35,7.8
270,34,7.5
271,35,7.5
272,38,5.6
273,34,7.3
274,40,7.1
275,37,7.8
276,32,7.3
277,33,6.9
278,43,7.2
279,34,8.1
280,34,7.2
281,35,7.5
282,32,7.3
283,38,8.4
284,39,7.2
285,36,7.7
286,33,7.3
287,39,7.0
288,35,7.4
289,33,7.4
290,33,7.3
291,34,6.6
292,20,7.1
293,35,7.3
294,33,7.3
295,39,7.3
296,38,7.8
297,35,7.4
298,20,7.9
299,36,7.3
300,44,8.0
301,44,8.5
302,44,8.1
303,44,8.2
304,44,8.1
305,44,8.0
306,44,8.3
307,44,8.0
308,44,8.3
309,44,8.3
310,44,8.5
311,44,8.1
312,44,7.7
313,45,8.3
314,44,8.1
315,45,7.7
316,44,8.0
317,45,8.6
318,44,7.8
319,44,8.1
320,44,7.7
321,45,8.0
322,44,7.7
323,44,6.9
324,44,7.9
325,44,7.4
326,44,7.3
327,44,7.6
328,44,8.2
329,44,7.6
330,44,7.9
331,44,7.6
332,44,7.6
333,44,7.3
334,44,7.2
335,44,7.9
336,44,7.6
337,44,8.2
338,44,7.7
339,44,8.0
340,44,7.4
341,44,7.6
342,44,7.8
343,45,7.7
344,45,7.4
345,44,7.7
346,44,6.4
347,44,7.8
348,44,7.6
349,44,8.6
350,44,6.5
351,44,8.4
352,44,7.8
353,44,7.5
354,44,8.0
355,44,6.9
356,45,7.6
357,44,6.6
358,44,7.2
359,44,8.1
360,44,8.2
361,44,7.7
362,44,7.7
363,45,7.4
364,44,7.0
365,44,7.4
366,45,7.1
367,44,7.9
368,45,7.7
369,44,6.6
370,44,7.0
371,44,7.7
372,44,7.0
373,44,7.5
374,44,6.8
375,44,7.1
376,44,7.3
377,44,8.0
378,44,6.9
379,44,8.1
380,44,6.9
381,44,7.1
382,45,7.0
383,44,7.3
384,44,7.3
385,44,7.8
386,44,7.8
387,44,7.9
388,45,6.9
389,44,7.9
390,44,7.0
391,44,6.9
392,44,6.2
393,44,8.2
394,45,6.5
395,44,8.4
396,45,6.8
397,44,6.8
398,45,6.9
399,44,7.2
400,46,9.0
401,47,8.9
402,47,9.2
403,48,8.6
404,49,8.6
405,49,8.5
406,33,8.2
407,50,8.6
408,47,9.0
409,46,8.5
410,33,8.7
411,51,8.1
412,52,8.5
413,49,8.3
414,49,8.1
415,49,8.5
416,33,8.1
417,53,8.3
418,54,8.3
419,55,8.0
420,47,8.3
421,56,8.1
422,47,8.3
423,47,8.6
424,13,8.1
425,51,8.0
426,47,8.9
427,49,8.1
428,52,7.3
429,48,8.1
430,49,8.2
431,47,7.8
432,57,8.2
433,48,8.2
434,57,7.6
435,51,7.4
436,55,7.7
437,57,7.2
438,58,7.6
439,48,7.8
440,59,7.6
441,47,8.2
442,49,7.9
443,57,6.5
444,47,7.2
445,48,7.7
446,46,7.6
447,53,6.9
448,49,7.7
449,33,7.8
450,48,7.9
451,48,7.8
452,59,8.2
453,33,8.1
454,47,7.5
455,53,7.0
456,33,7.8
457,59,7.9
458,49,7.7
459,46,7.6
460,60,6.7
461,49,7.5
462,55,6.5
463,47,7.6
464,51,7.5
465,61,7.3
466,62,7.3
467,59,7.9
468,49,7.5
469,51,6.8
470,57,7.0
471,51,7.0
472,57,6.9
473,48,7.6
474,51,7.2
475,46,7.7
476,51,6.9
477,57,6.9
478,49,7.5
479,59,7.0
480,47,8.4
481,33,7.9
482,48,7.7
483,13,6.8
484,46,7.6
485,62,7.0
486,47,8.2
487,53,5.8
488,57,7.0
489,46,7.7
490,51,6.8
491,63,7.2
492,13,7.7
493,33,7.0
494,49,7.9
495,51,6.9
496,33,7.7
497,60,7.0
498,57,7.4
499,46,7.4
500,64,9.3
501,46,9.0
502,64,8.8
503,47,8.9
504,65,8.8
505,1,8.8
506,2,8.9
507,47,9.2
508,2,8.7
509,4,8.6
510,48,8.6
511,66,8.4
512,1,8.5
513,49,8.6
514,5,8.3
515,67,8.6
516,32,8.9
517,49,8.5
518,68,8.5
519,33,8.2
520,50,8.6
521,47,9.0
522,64,8.3
523,65,7.8
524,64,8.5
525,69,8.2
526,46,8.5
527,33,8.7
528,32,8.3
529,11,8.5
530,70,8.1
531,49,8.3
532,71,8.1
533,64,8.7
534,72,8.3
535,73,8.4
536,65,8.3
537,71,8.1
538,49,8.1
539,49,8.5
540,34,8.2
541,33,8.1
542,65,8.0
543,74,7.7
544,64,8.3
545,2,8.1
546,1,8.4
547,54,8.3
548,4,8.0
549,35,8.5
550,68,8.0
551,75,7.6
552,47,8.3
553,64,8.1
554,36,8.5
555,47,8.3
556,76,8.5
557,77,8.0
558,47,8.6
559,1,8.0
560,1,7.2
561,37,8.0
562,47,8.9
563,67,8.3
564,78,7.7
565,32,8.0
566,69,8.1
567,64,8.1
568,32,8.1
569,79,8.1
570,34,7.7
571,80,8.2
572,78,8.6
573,49,8.1
574,81,8.4
575,48,8.1
576,82,7.8
577,68,7.9
578,2,7.9
579,83,7.7
580,37,7.7
581,49,8.2
582,20,8.1
583,47,7.8
584,69,7.4
585,84,7.9
586,48,8.2
587,72,8.0
588,85,7.8
589,86,8.5
590,65,7.8
591,79,8.1
592,64,8.2
593,87,8.4
594,48,7.8
595,69,7.6
596,69,7.1
597,83,7.7
598,87,7.6
599,88,8.0
600,2,8.9
601,2,8.7
602,6,8.6
603,6,8.7
604,50,8.6
605,6,7.8
606,6,8.0
