,run_length,genres,release_date,rating,movie_rated_pg-13,movie_rated_r,movie_rated_pg,movie_rated_g,movie_rated_not rated,movie_rated_approved,movie_rated_passed,movie_rated_nc-17,movie_rated_tv-ma,movie_rated_null,movie_rated_gp,movie_rated_m/pg,movie_rated_tv-14,movie_rated_tv-pg
0,2h 28min,Action; Adventure; Sci-Fi; ,6,8.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2h 58min,Action; Adventure; Drama; ,11,8.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3h 21min,Adventure; Drama; Fantasy; ,11,8.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2h 44min,Action; Adventure; ,6,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2h 59min,Adventure; Drama; Fantasy; ,11,8.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2h 49min,Adventure; Drama; Sci-Fi; ,10,8.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,2h 35min,Action; Adventure; Drama; ,4,8.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2h 20min,Action; Adventure; ,5,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2h 23min,Action; Adventure; Sci-Fi; ,4,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2h 33min,Adventure; Drama; War; ,7,8.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2h 1min,Action; Adventure; Fantasy; ,4,8.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2h 4min,Action; Adventure; Fantasy; ,5,8.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2h 42min,Action; Adventure; Fantasy; ,11,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2h 1min,Action; Adventure; Comedy; ,7,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14,1h 56min,Adventure; Comedy; Sci-Fi; ,6,8.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15,2h 23min,Action; Adventure; Fantasy; ,6,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16,1h 38min,Animation; Adventure; ,5,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17,2h 11min,Action; Adventure; Fantasy; ,4,8.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
18,1h 40min,Animation; Adventure; Comedy; ,4,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
19,2h 6min,Action; Adventure; Sci-Fi; ,4,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20,1h 28min,Animation; Adventure; Drama; ,5,8.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
21,1h 36min,Animation; Adventure; Comedy; ,4,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
22,1h 48min,Action; Adventure; Comedy; ,1,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
23,1h 55min,Action; Adventure; ,5,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
24,1h 21min,Animation; Adventure; Comedy; ,10,8.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
25,2h,Action; Adventure; Sci-Fi; ,4,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2h 18min,Action; Adventure; Sci-Fi; ,11,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
27,2h 7min,Action; Adventure; Sci-Fi; ,5,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
28,2h 22min,Action; Adventure; Sci-Fi; ,2,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
29,1h 32min,Animation; Adventure; Comedy; ,10,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
30,2h 29min,Action; Adventure; Sci-Fi; ,3,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
31,2h 49min,Adventure; Fantasy; ,11,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
32,2h 10min,Adventure; Drama; Fantasy; ,6,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
33,3h 1min,Action; Adventure; Drama; ,3,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
34,2h 10min,Action; Adventure; Sci-Fi; ,4,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
35,1h 43min,Animation; Adventure; Comedy; ,5,8.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36,2h 24min,Adventure; Drama; Sci-Fi; ,9,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
37,1h 55min,Action; Adventure; Fantasy; ,4,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
38,2h 4min,Action; Adventure; Sci-Fi; ,6,6.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
39,2h 21min,Action; Adventure; Sci-Fi; ,4,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
40,2h 16min,Action; Adventure; Sci-Fi; ,3,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
41,2h 16min,Action; Adventure; Fantasy; ,4,6.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
42,2h 4min,Action; Adventure; Sci-Fi; ,4,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
43,2h 20min,Action; Adventure; Fantasy; ,4,7.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
44,1h 39min,Adventure; Comedy; Crime; ,2,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
45,2h 36min,Action; Adventure; Drama; ,0,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
46,2h 23min,Action; Adventure; Sci-Fi; ,5,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
47,2h 7min,Action; Adventure; ,4,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
48,2h 1min,Action; Adventure; Sci-Fi; ,4,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
49,1h 41min,Action; Adventure; Drama; ,11,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
50,2h 12min,Action; Adventure; Sci-Fi; ,4,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
