,movie_rated,run_length,genres,release_date,rating
0,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8
1,PG-13,2h 58min,Action; Adventure; Drama; ,19 December 2001 (USA),8.8
2,PG-13,3h 21min,Adventure; Drama; Fantasy; ,17 December 2003 (USA),8.9
3,PG-13,2h 44min,Action; Adventure; ,20 July 2012 (USA),8.4
4,PG-13,2h 59min,Adventure; Drama; Fantasy; ,18 December 2002 (USA),8.7
5,PG-13,2h 49min,Adventure; Drama; Sci-Fi; ,7 November 2014 (USA),8.6
6,R,2h 35min,Action; Adventure; Drama; ,5 May 2000 (USA),8.5
7,PG-13,2h 20min,Action; Adventure; ,15 June 2005 (USA),8.2
8,PG-13,2h 23min,Action; Adventure; Sci-Fi; ,4 May 2012 (USA),8.0
9,R,2h 33min,Adventure; Drama; War; ,21 August 2009 (USA),8.3
10,PG,2h 1min,Action; Adventure; Fantasy; ,25 May 1977 (USA),8.6
11,PG,2h 4min,Action; Adventure; Fantasy; ,20 June 1980 (USA),8.7
12,PG-13,2h 42min,Action; Adventure; Fantasy; ,18 December 2009 (USA),7.8
13,PG-13,2h 1min,Action; Adventure; Comedy; ,1 August 2014 (USA),8.0
14,PG,1h 56min,Adventure; Comedy; Sci-Fi; ,3 July 1985 (USA),8.5
15,PG-13,2h 23min,Action; Adventure; Fantasy; ,9 July 2003 (USA),8.0
16,G,1h 38min,Animation; Adventure; ,27 June 2008 (USA),8.4
17,PG,2h 11min,Action; Adventure; Fantasy; ,25 May 1983 (USA),8.3
18,G,1h 40min,Animation; Adventure; Comedy; ,30 May 2003 (USA),8.1
19,PG-13,2h 6min,Action; Adventure; Sci-Fi; ,2 May 2008 (USA),7.9
20,G,1h 28min,Animation; Adventure; Drama; ,24 June 1994 (USA),8.5
21,PG,1h 36min,Animation; Adventure; Comedy; ,29 May 2009 (USA),8.2
22,R,1h 48min,Action; Adventure; Comedy; ,12 February 2016 (USA),8.0
23,PG,1h 55min,Action; Adventure; ,12 June 1981 (USA),8.4
24,G,1h 21min,Animation; Adventure; Comedy; ,22 November 1995 (USA),8.3
25,R,2h,Action; Adventure; Sci-Fi; ,15 May 2015 (USA),8.1
26,PG-13,2h 18min,Action; Adventure; Sci-Fi; ,18 December 2015 (USA),7.9
27,PG-13,2h 7min,Action; Adventure; Sci-Fi; ,11 June 1993 (USA),8.1
28,PG-13,2h 22min,Action; Adventure; Sci-Fi; ,23 March 2012 (USA),7.2
29,G,1h 32min,Animation; Adventure; Comedy; ,2 November 2001 (USA),8.0
30,PG-13,2h 29min,Action; Adventure; Sci-Fi; ,27 April 2018 (USA),8.4
