,movie_rated,rating
0,0,8.8
1,0,8.8
2,0,8.9
3,0,8.4
4,0,8.7
5,0,8.6
6,1,8.5
7,0,8.2
8,0,8.0
9,1,8.3
10,2,8.6
11,2,8.7
12,0,7.8
13,0,8.0
14,2,8.5
15,0,8.0
16,3,8.4
17,2,8.3
18,3,8.1
19,0,7.9
20,3,8.5
21,2,8.2
22,1,8.0
23,2,8.4
24,3,8.3
25,1,8.1
26,0,7.9
27,0,8.1
28,0,7.2
29,3,8.0
30,0,8.4
31,0,7.8
32,0,8.1
33,0,8.4
34,0,7.2
35,3,8.3
36,0,8.0
37,0,7.0
38,0,6.9
39,0,7.3
40,0,7.7
41,2,6.5
42,0,7.0
43,0,7.5
44,1,8.1
45,1,8.0
46,0,7.0
47,0,8.2
48,0,7.3
49,0,7.2
50,0,8.0
51,2,8.1
52,0,7.3
53,2,8.0
54,0,7.8
55,1,8.3
56,0,7.7
57,2,6.5
58,3,8.0
59,2,7.6
60,2,8.6
61,0,7.7
62,0,6.4
63,0,7.5
64,2,7.8
65,0,7.8
66,0,7.3
67,2,8.1
68,0,7.0
69,0,7.0
70,3,8.3
71,0,7.1
72,0,6.0
73,0,7.9
74,0,6.9
75,1,7.7
76,0,7.5
77,0,7.6
78,0,7.9
79,2,7.9
80,0,8.0
81,0,7.0
82,0,7.4
83,1,7.0
84,0,7.9
85,2,7.4
86,1,8.1
87,0,7.3
88,0,6.9
89,0,7.6
90,0,7.0
91,0,7.8
92,2,8.0
93,2,7.4
94,0,7.4
95,0,7.3
96,2,7.9
97,0,7.7
98,0,7.0
99,3,7.9
100,3,8.4
101,3,8.1
102,3,8.5
103,2,8.2
104,3,8.3
105,3,8.0
106,3,8.3
107,2,8.1
108,2,8.0
109,3,8.0
110,2,8.6
111,2,7.8
112,2,8.1
113,2,7.4
114,3,7.9
115,2,7.6
116,2,7.5
117,2,8.0
118,3,8.0
119,2,7.2
120,2,7.5
121,2,7.8
122,2,7.7
123,2,7.7
124,2,7.1
125,2,7.3
126,3,8.0
127,2,6.9
128,3,7.1
129,2,8.4
130,0,8.4
131,2,8.4
132,2,7.7
133,2,8.2
134,3,7.3
135,0,7.3
136,2,7.8
137,2,8.0
138,3,8.2
139,2,6.1
140,3,7.2
141,2,7.6
142,2,6.8
143,2,7.2
144,3,7.6
145,2,7.6
146,2,7.3
147,2,7.3
148,3,7.6
149,2,7.2
150,4,8.5
151,2,7.2
152,2,6.9
153,2,7.1
154,2,7.3
155,2,6.4
156,3,6.9
157,2,6.9
158,3,7.3
159,2,6.6
160,3,7.3
161,2,6.9
162,2,7.9
163,2,7.7
164,1,7.7
165,2,6.6
166,2,7.2
167,2,6.8
168,3,7.8
169,2,6.3
170,2,6.5
171,2,7.7
172,5,7.6
173,3,7.3
174,2,8.4
175,2,7.0
176,3,7.0
177,1,6.1
178,2,8.0
179,3,6.6
180,2,6.4
181,3,6.7
182,2,6.0
183,2,7.2
184,3,7.6
185,4,8.1
186,0,6.2
187,2,6.8
188,1,8.0
189,2,6.4
190,2,6.7
191,3,6.1
192,2,7.3
193,3,7.2
194,2,6.5
195,2,8.0
196,2,6.4
197,2,8.1
198,3,7.3
199,2,6.6
200,1,8.9
201,1,8.2
202,1,8.7
203,1,8.3
204,0,8.2
205,0,8.1
206,1,8.5
207,1,8.5
208,0,8.0
209,1,8.0
210,1,8.1
211,0,7.7
212,1,7.7
213,1,8.1
214,0,8.0
215,0,8.0
216,1,8.0
217,1,7.3
218,1,8.1
219,1,8.1
220,0,7.8
221,1,8.1
222,0,7.7
223,1,7.8
224,1,8.3
225,0,7.6
226,1,7.8
227,1,7.6
228,0,8.2
229,1,7.8
230,0,8.1
231,0,7.5
232,1,8.2
233,1,8.2
234,1,7.9
235,0,7.6
236,1,7.0
237,1,7.7
238,1,7.5
239,5,8.3
240,0,7.3
241,1,7.6
242,1,7.7
243,0,8.1
244,1,8.0
245,0,7.8
246,0,7.4
247,2,7.6
248,2,8.0
249,2,8.1
250,1,8.0
251,0,8.0
252,1,7.5
253,2,8.0
254,3,8.0
255,2,7.7
256,2,7.8
257,0,7.1
258,2,7.8
259,1,7.9
260,0,8.0
261,1,7.0
262,1,7.7
263,1,7.5
264,1,7.1
265,1,7.3
266,1,7.5
267,1,6.9
268,0,7.4
269,1,7.8
270,1,7.5
271,1,7.5
272,1,5.6
273,1,7.3
274,1,7.1
275,1,7.8
276,0,7.3
277,1,6.9
278,1,7.2
279,1,8.1
280,1,7.2
281,0,7.5
282,0,7.3
283,4,8.4
284,0,7.2
285,0,7.7
286,1,7.3
287,1,7.0
288,1,7.4
289,1,7.4
290,1,7.3
291,0,6.6
292,0,7.1
293,1,7.3
294,1,7.3
295,0,7.3
296,1,7.8
297,1,7.4
298,0,7.9
299,1,7.3
300,0,8.0
301,2,8.5
302,3,8.1
303,2,8.2
304,2,8.1
305,1,8.0
306,3,8.3
307,3,8.0
308,1,8.3
309,3,8.3
310,1,8.5
311,1,8.1
312,1,7.7
313,1,8.3
314,1,8.1
315,1,7.7
316,3,8.0
317,0,8.6
318,2,7.8
319,2,8.1
320,1,7.7
321,2,8.0
322,1,7.7
323,1,6.9
324,0,7.9
325,2,7.4
326,0,7.3
327,0,7.6
328,1,8.2
329,1,7.6
330,3,7.9
331,1,7.6
332,1,7.6
333,0,7.3
334,1,7.2
335,1,7.9
336,2,7.6
337,2,8.2
338,1,7.7
339,0,8.0
340,0,7.4
341,1,7.6
342,2,7.8
343,0,7.7
344,0,7.4
345,1,7.7
346,1,6.4
347,1,7.8
348,2,7.6
349,1,8.6
350,0,6.5
351,2,8.4
352,1,7.8
353,2,7.5
354,2,8.0
355,1,6.9
356,1,7.6
357,2,6.6
358,2,7.2
359,2,8.1
360,1,8.2
361,1,7.7
362,2,7.7
363,0,7.4
364,1,7.0
365,2,7.4
366,1,7.1
367,1,7.9
368,0,7.7
369,1,6.6
370,1,7.0
371,2,7.7
372,1,7.0
373,0,7.5
374,0,6.8
375,2,7.1
376,2,7.3
377,3,8.0
378,0,6.9
379,1,8.1
380,2,6.9
381,3,7.1
382,0,7.0
383,0,7.3
384,1,7.3
385,2,7.8
