,release_date,rating
0,[6],8.8
1,[11],8.8
2,[11],8.9
3,[6],8.4
4,[11],8.7
5,[10],8.6
6,[4],8.5
7,[5],8.2
8,[4],8.0
9,[7],8.3
10,[4],8.6
11,[5],8.7
12,[11],7.8
13,[7],8.0
14,[6],8.5
15,[6],8.0
16,[5],8.4
17,[4],8.3
18,[4],8.1
19,[4],7.9
20,[5],8.5
21,[4],8.2
22,[1],8.0
23,[5],8.4
24,[10],8.3
25,[4],8.1
26,[11],7.9
27,[5],8.1
28,[2],7.2
29,[10],8.0
30,[3],8.4
31,[11],7.8
32,[6],8.1
33,[3],8.4
34,[4],7.2
35,[5],8.3
36,[9],8.0
37,[4],7.0
38,[6],6.9
39,[4],7.3
40,[3],7.7
41,[4],6.5
42,[4],7.0
43,[4],7.5
44,[2],8.1
45,[0],8.0
46,[5],7.0
47,[4],8.2
48,[4],7.3
49,[11],7.2
50,[4],8.0
51,[2],8.1
52,[6],7.3
53,[10],8.0
54,[4],7.8
55,[6],8.3
56,[5],7.7
57,[4],6.5
58,[5],8.0
59,[10],7.6
60,[2],8.6
61,[10],7.7
62,[2],6.4
63,[10],7.5
64,[4],7.8
65,[11],7.8
66,[1],7.3
67,[5],8.1
68,[6],7.0
69,[5],7.0
70,[4],8.3
71,[4],7.1
72,[7],6.0
73,[5],7.9
74,[10],6.9
75,[1],7.7
76,[10],7.5
77,[11],7.6
78,[4],7.9
79,[10],7.9
80,[10],8.0
81,[5],7.0
82,[6],7.4
83,[5],7.0
84,[10],7.9
85,[10],7.4
86,[9],8.1
87,[6],7.3
88,[6],6.9
89,[4],7.6
90,[11],7.0
91,[11],7.8
92,[5],8.0
93,[10],7.4
94,[5],7.4
95,[5],7.3
96,[5],7.9
97,[10],7.7
98,[6],7.0
99,[10],7.9
100,[5],8.4
101,[4],8.1
102,[5],8.5
103,[4],8.2
104,[10],8.3
105,[10],8.0
106,[5],8.3
107,[2],8.1
108,[10],8.0
109,[5],8.0
110,[2],8.6
111,[4],7.8
112,[5],8.1
113,[10],7.4
114,[10],7.9
115,[6],7.6
116,[2],7.5
117,[2],8.0
118,[10],8.0
119,[4],7.2
120,[5],7.5
121,[10],7.8
122,[10],7.7
123,[10],7.7
124,[5],7.1
125,[6],7.3
126,[10],8.0
127,[4],6.9
128,[5],7.1
129,[10],8.4
130,[11],8.4
131,[11],8.4
132,[1],7.7
133,[5],8.2
134,[5],7.3
135,[6],7.3
136,[5],7.8
137,[9],8.0
138,[6],8.2
139,[4],6.1
140,[10],7.2
141,[10],7.6
142,[2],6.8
143,[4],7.2
144,[5],7.6
145,[5],7.6
146,[8],7.3
147,[5],7.3
148,[10],7.6
149,[2],7.2
150,[6],8.5
151,[10],7.2
152,[6],6.9
153,[8],7.1
154,[11],7.3
155,[6],6.4
156,[3],6.9
157,[8],6.9
158,[5],7.3
