,run_length,rating
0,[148],8.8
1,[178],8.8
2,[201],8.9
3,[164],8.4
4,[179],8.7
5,[169],8.6
6,[155],8.5
7,[140],8.2
8,[143],8.0
9,[153],8.3
10,[121],8.6
11,[124],8.7
12,[162],7.8
13,[121],8.0
14,[116],8.5
15,[143],8.0
16,[98],8.4
17,[131],8.3
18,[100],8.1
19,[126],7.9
20,[88],8.5
21,[96],8.2
22,[108],8.0
23,[115],8.4
24,[81],8.3
25,[120],8.1
26,[138],7.9
27,[127],8.1
28,[142],7.2
29,[92],8.0
30,[149],8.4
31,[169],7.8
32,[130],8.1
33,[181],8.4
34,[130],7.2
35,[103],8.3
36,[144],8.0
37,[115],7.0
38,[124],6.9
39,[141],7.3
40,[136],7.7
41,[136],6.5
42,[124],7.0
43,[140],7.5
44,[99],8.1
45,[156],8.0
46,[143],7.0
47,[127],8.2
48,[121],7.3
49,[101],7.2
50,[132],8.0
51,[98],8.1
52,[151],7.3
53,[115],8.0
54,[147],7.8
55,[137],8.3
56,[131],7.7
57,[142],6.5
58,[111],8.0
59,[152],7.6
60,[125],8.6
61,[143],7.7
62,[151],6.4
63,[146],7.5
64,[90],7.8
65,[161],7.8
66,[134],7.3
67,[95],8.1
68,[144],7.0
69,[116],7.0
70,[149],8.3
71,[169],7.1
72,[123],6.0
73,[113],7.9
74,[112],6.9
75,[129],7.7
76,[115],7.5
77,[128],7.6
78,[127],7.9
79,[127],7.9
80,[144],8.0
81,[124],7.0
82,[104],7.4
83,[124],7.0
84,[130],7.9
85,[102],7.4
86,[148],8.1
87,[117],7.3
88,[136],6.9
89,[136],7.6
90,[152],7.0
91,[133],7.8
92,[124],8.0
93,[161],7.4
94,[141],7.4
95,[127],7.3
96,[142],7.9
97,[157],7.7
98,[145],7.0
99,[92],7.9
100,[98],8.4
101,[100],8.1
102,[88],8.5
103,[96],8.2
104,[81],8.3
105,[92],8.0
106,[103],8.3
107,[98],8.1
108,[115],8.0
109,[111],8.0
110,[125],8.6
111,[90],7.8
112,[95],8.1
113,[102],7.4
114,[92],7.9
115,[95],7.6
116,[81],7.5
117,[108],8.0
118,[84],8.0
119,[93],7.2
120,[92],7.5
121,[102],7.8
122,[100],7.7
123,[101],7.7
124,[93],7.1
125,[98],7.3
126,[90],8.0
127,[86],6.9
128,[117],7.1
129,[105],8.4
130,[134],8.4
131,[117],8.4
132,[100],7.7
133,[119],8.2
134,[104],7.3
135,[87],7.3
136,[102],7.8
137,[76],8.0
138,[86],8.2
139,[93],6.1
140,[95],7.2
141,[107],7.6
142,[91],6.8
143,[90],7.2
144,[88],7.6
145,[118],7.6
146,[77],7.3
147,[97],7.3
148,[83],7.6
149,[107],7.2
150,[89],8.5
151,[95],7.2
152,[94],6.9
153,[91],7.1
154,[107],7.3
155,[91],6.4
156,[96],6.9
157,[90],6.9
158,[93],7.3
159,[89],6.6
160,[88],7.3
161,[118],6.9
162,[87],7.9
163,[100],7.7
164,[81],7.7
165,[88],6.6
166,[98],7.2
167,[96],6.8
168,[100],7.8
169,[93],6.3
170,[87],6.5
171,[104],7.7
172,[83],7.6
173,[78],7.3
174,[106],8.4
175,[107],7.0
176,[84],7.0
177,[89],6.1
178,[86],8.0
179,[100],6.6
180,[108],6.4
181,[81],6.7
182,[90],6.0
183,[85],7.2
184,[78],7.6
185,[92],8.1
186,[115],6.2
187,[93],6.8
188,[124],8.0
189,[88],6.4
190,[83],6.7
191,[106],6.1
192,[97],7.3
193,[79],7.2
194,[83],6.5
195,[125],8.0
196,[94],6.4
197,[117],8.1
198,[74],7.3
199,[90],6.6
200,[195],8.9
201,[180],8.2
202,[146],8.7
203,[178],8.3
204,[135],8.2
205,[141],8.1
206,[112],8.5
207,[150],8.5
208,[114],8.0
209,[118],8.0
210,[134],8.1
211,[120],7.7
212,[120],7.7
213,[148],8.1
214,[117],8.0
215,[134],8.0
216,[117],8.0
217,[133],7.3
218,[123],8.1
219,[139],8.1
220,[134],7.8
221,[129],8.1
222,[123],7.7
223,[157],7.8
224,[160],8.3
225,[133],7.6
226,[130],7.8
227,[94],7.6
